variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
b_raw[15],-0.650161793,-0.6474525,0.12047131801881078,0.12039008519999998,-0.85123235,-0.4578530000000001,1.005412284131648,1157.169307872469,2412.889414753195
b_raw[16],-0.75175356675,-0.7540415,0.16173898455569954,0.165643485,-1.014316,-0.48663700000000015,1.003649822345296,1641.633289249938,2692.211877730917
b_raw[17],-0.432723256963,-0.430017,0.16026706521698883,0.16284211230000004,-0.69388185,-0.1729104000000002,1.0043242665028915,2039.8632305305086,2317.0238675326777
b_raw[18],-0.90467654275,-0.9038795,0.15860513462391118,0.16001034630000016,-1.164208,-0.6443762000000002,1.0025961743136464,1706.9248992961293,2499.675765904685
b_raw[19],-2.10412789,-2.1040900000000002,0.13663518583256576,0.13715532600000013,-2.3243215,-1.8779875000000004,1.0049352330718846,712.8083110612132,1790.0629041394034
b_raw[20],1.33156127175,1.33094,0.13907032641124406,0.14244079500000004,1.103234,1.5573320000000002,1.0041988168469105,869.1444451670706,2517.6237568688985
b_raw[21],0.497219130275,0.4997275,0.13082878573349363,0.13067043360000002,0.28495005,0.7114636499999999,1.002803331188945,1488.11070186747,2316.726387728375
b_raw[22],-1.8445448625,-1.8446850000000001,0.16889632946176625,0.1662365250000002,-2.1180735,-1.5654065000000001,1.001156013937701,1361.2384433169993,2523.9227044513764
b_raw[23],0.463412174735,0.45867,0.16218558850640266,0.1551733638,0.19434405000000002,0.7378688499999998,1.0027172904134456,1501.5389592475306,2041.098428353364
b_raw[24],0.65053448875,0.6530130000000001,0.15726452903696136,0.15702364859999987,0.38660875000000006,0.9055101499999999,1.0023755749515186,2456.996875002624,2959.2242553646943
b_raw[25],-0.3745333864375,-0.37705500000000003,0.1339069509941661,0.1351130445,-0.5891869,-0.1549419500000001,1.0029095630560279,1647.4461603196164,2338.860207126855
b_raw[26],-0.2369022921325,-0.23493999999999998,0.09722168808692615,0.09597759359999998,-0.39881325,-0.07711756,1.0052461214499495,840.5444155444665,1942.2769763986148
b_raw[27],-0.07226319071245,-0.071214,0.16132973922496435,0.1601541585,-0.33374795,0.19112239999999997,1.0029148708244973,1905.3526242875932,1999.1156522180502
b_raw[28],-0.8031836785,-0.803347,0.1332736914882109,0.1354933314,-1.0220905,-0.5798178500000001,1.0039612918202092,1207.4888762388796,1983.6093464360988
b_raw[29],0.9149960735,0.9146795,0.15550633512959988,0.15505846229999998,0.6609443500000001,1.166809,1.002686090073618,1534.218884430773,1931.0381787731255
b_raw[30],0.29724021992925,0.2944615,0.13340833886969164,0.1326934413,0.08620496500000001,0.5198415,1.003761046591995,1373.0719020903443,2706.0431244390415
b_raw[31],1.284641241,1.280815,0.1392774516277434,0.14118799800000004,1.0624275,1.5161864999999999,1.0047919427517373,683.4591545731656,1841.947762218576
b_raw[32],0.103512239954,0.1045275,0.09284400083920223,0.09035320224,-0.05323274,0.2562111499999999,1.0074486684617285,816.9542813093607,1933.1861001258346
b_raw[33],-0.4458711398025,-0.447062,0.13116206497419278,0.13493661510000002,-0.6577756499999999,-0.2321861500000001,1.0028833114980045,1298.4729664147383,2139.0357651537197
b_raw[34],0.65176018275,0.6486164999999999,0.1547853422916408,0.1568360997000001,0.404006,0.9103327499999999,1.00402163217307,1691.732473346482,2527.8562209668908
b_raw[35],1.4704436075,1.4659149999999999,0.1586263985375737,0.15875680799999975,1.217067,1.7332109999999998,1.0044356723306174,1377.1491309309351,2656.1651855568803
b_raw[36],1.41751660275,1.4166400000000001,0.11390349410413729,0.115249911,1.2274185,1.6063545000000001,1.0045531350581507,706.5910128578093,1681.003209920883
b_raw[37],-0.035783903922875004,-0.03534735,0.15322974422397387,0.15300179958,-0.287657,0.21488869999999982,1.002032159419736,2117.2777432609555,3193.701130891754
b_raw[38],0.317698423975,0.317831,0.09954876717274361,0.10114741979999999,0.15500160000000002,0.4797714999999999,1.0052856099661396,847.6399049072896,2064.3204223071903
b_raw[39],0.7208302935,0.719021,0.16327345540133598,0.16881180120000003,0.45636285000000004,0.9906149,1.0053885861536676,1877.2761677505432,2192.5620361980486
b_raw[40],-0.374648080115,-0.37246100000000004,0.1335916626122327,0.13618051650000004,-0.5943064000000001,-0.1552038000000002,1.0048833220489446,1140.459984628513,2435.648814365478
b_raw[41],-2.1046322925,-2.102505,0.14596956939261888,0.14727407099999992,-2.3487489999999998,-1.8655500000000003,1.00420183588614,828.7566346394622,1724.1190014188378
b_raw[42],2.1811297225,2.17746,0.14763903389171848,0.14643640200000002,1.9439199999999999,2.4331920000000005,1.002739842437188,668.6981537062202,1582.6345759500969
b_raw[43],-1.05212852225,-1.0510899999999999,0.1044853299545991,0.1043335271999999,-1.2243940000000002,-0.8803579500000002,1.004939666822095,765.9157171561485,1541.8236824564026
b_raw[44],-0.012590187179074999,-0.013076299999999999,0.1315151331740696,0.13335720132,-0.2270172,0.20319774999999987,1.0022782954094158,1501.9775038365121,2408.2381957549296
b_raw[45],-7.408716707250006e-4,-1.93632e-4,0.11443192712662781,0.11504516393999999,-0.18435020000000002,0.1822924999999999,1.0045477196729162,1197.9462388533548,1975.0055569031176
b_raw[46],-0.22713343315395,-0.2225345,0.1569792802328664,0.1564009566,-0.49227350000000003,0.024870874999999938,1.0043642115126397,1823.5870030326134,2433.4176106054747
b_raw[47],-0.64541919225,-0.6457005,0.11743549188051107,0.11807129879999997,-0.8388501,-0.45271950000000005,1.0022930089959292,1018.6882903544944,2245.776700530989
b_raw[48],0.558784989775,0.5600915,0.13226026485763043,0.13065634890000008,0.3434795,0.7794714999999997,1.0030083496828475,1306.929915844983,2371.284255996384
b_raw[49],0.629280307,0.6294335,0.12789488242869845,0.1259224071,0.41852125000000007,0.8414672999999999,1.003882550952705,1614.3585468490364,2464.7871063754646
b_raw[50],0.3933388734225,0.390829,0.15729867303127157,0.1515795414,0.1343948,0.6536859499999998,1.0037152548027675,1399.7711474687442,1877.6845440093275
b_raw[51],0.969560226,0.967993,0.13280176506289668,0.13157926739999995,0.7545559500000001,1.1934615,1.001604450420936,1251.881109473919,2286.62542905861
