variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
sigma,0.49114606825,0.4911455,0.002266752549545752,0.002230571699999988,0.48747039999999997,0.49491835,1.0024163657337863,2741.814471356228,2687.9645572653385
sigma_b,0.51737392725,0.5164135,0.014784108892317196,0.015063216000000003,0.49519640000000004,0.542513,1.0077221619955465,226.01310751852805,389.24008073384084
tau_u,0.9276683535,0.927659,0.008514267625541118,0.008574617099999996,0.91404515,0.9415800500000001,1.0025112459987282,1262.1763266895964,2318.513154607973
sigma_version,0.3046522848,0.2669095,0.1471983502259032,0.11748567179999997,0.14046305,0.5873543,0.9994688573227646,1612.2949516905126,2201.086137076184
